127.0.0.1, 2015-07-06 18:35:25, GET, /, HTTP/1.1, 303, 0.000983
127.0.0.1, 2015-07-06 18:35:26, GET, /welcome/default/index, HTTP/1.1, 200, 0.967814
127.0.0.1, 2015-07-06 18:35:26, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000476
127.0.0.1, 2015-07-06 18:35:26, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.000457
127.0.0.1, 2015-07-06 18:35:26, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000423
127.0.0.1, 2015-07-06 18:35:26, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000477
127.0.0.1, 2015-07-06 18:35:26, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000360
127.0.0.1, 2015-07-06 18:35:26, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000494
127.0.0.1, 2015-07-06 18:35:26, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000320
127.0.0.1, 2015-07-06 18:35:26, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000446
127.0.0.1, 2015-07-06 18:35:26, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000323
127.0.0.1, 2015-07-06 18:35:26, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000385
127.0.0.1, 2015-07-06 18:35:26, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000351
127.0.0.1, 2015-07-06 18:35:26, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000462
127.0.0.1, 2015-07-06 18:35:26, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000461
127.0.0.1, 2015-07-06 18:35:27, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000478
127.0.0.1, 2015-07-06 18:35:27, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000478
127.0.0.1, 2015-07-06 18:35:27, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000453
